Harvest a Field
# first street, first avenue, num streets, num avenues showing 
0 0 35 35
# intersection size (in pixels) 
38
# things






# wall

  becker.robots.Wall 1 0 Direction.NORTH
  becker.robots.Wall 1 1 Direction.NORTH
  becker.robots.Wall 1 2 Direction.NORTH
  becker.robots.Wall 1 3 Direction.NORTH
  becker.robots.Wall 1 4 Direction.NORTH
  
  becker.robots.Wall 1 6 Direction.NORTH
  becker.robots.Wall 1 7 Direction.NORTH
  becker.robots.Wall 1 8 Direction.NORTH
  becker.robots.Wall 1 9 Direction.NORTH
  becker.robots.Wall 1 10 Direction.NORTH
  becker.robots.Wall 1 11 Direction.NORTH
  becker.robots.Wall 1 12 Direction.NORTH
  becker.robots.Wall 1 13 Direction.NORTH
  becker.robots.Wall 1 14 Direction.NORTH 
 
  becker.robots.Wall 1 16 Direction.NORTH
  becker.robots.Wall 1 17 Direction.NORTH
  becker.robots.Wall 1 18 Direction.NORTH
  becker.robots.Wall 1 19 Direction.NORTH
  becker.robots.Wall 1 20 Direction.NORTH
  becker.robots.Wall 1 21 Direction.NORTH
  becker.robots.Wall 1 22 Direction.NORTH
  becker.robots.Wall 1 23 Direction.NORTH
  becker.robots.Wall 1 24 Direction.NORTH
  
  becker.robots.Wall 1 26 Direction.NORTH
  becker.robots.Wall 1 27 Direction.NORTH
  becker.robots.Wall 1 28 Direction.NORTH
  becker.robots.Wall 1 29 Direction.NORTH
becker.robots.Wall 1 30 Direction.NORTH
becker.robots.Wall 30  0 Direction.SOUTH
  becker.robots.Wall 30  1 Direction.SOUTH
  becker.robots.Wall 30  2 Direction.SOUTH
  becker.robots.Wall 30  3 Direction.SOUTH
  becker.robots.Wall 30  4 Direction.SOUTH
  becker.robots.Wall 30  5 Direction.SOUTH
  becker.robots.Wall 30  6 Direction.SOUTH
  becker.robots.Wall 30  7 Direction.SOUTH
  becker.robots.Wall 30 8 Direction.SOUTH
  becker.robots.Wall 30  9 Direction.SOUTH
  becker.robots.Wall 30  10 Direction.SOUTH
  becker.robots.Wall 30  11 Direction.SOUTH
  becker.robots.Wall 30  12 Direction.SOUTH
  becker.robots.Wall 30  13 Direction.SOUTH
  becker.robots.Wall 30  14 Direction.SOUTH 
  becker.robots.Wall 30  15 Direction.SOUTH
  becker.robots.Wall 30 16 Direction.SOUTH
  becker.robots.Wall 30  17 Direction.SOUTH
  becker.robots.Wall 30 18 Direction.SOUTH
  becker.robots.Wall 30  19 Direction.SOUTH
  becker.robots.Wall 30  20 Direction.SOUTH
  becker.robots.Wall 30  21 Direction.SOUTH
  becker.robots.Wall 30  22 Direction.SOUTH
  becker.robots.Wall 30  23 Direction.SOUTH
  becker.robots.Wall 30  24 Direction.SOUTH
  becker.robots.Wall 30  25 Direction.SOUTH
becker.robots.Wall 30  26 Direction.SOUTH
  becker.robots.Wall 30  27 Direction.SOUTH
  becker.robots.Wall 30  28 Direction.SOUTH
  becker.robots.Wall 30  29 Direction.SOUTH
becker.robots.Wall 30  30 Direction.SOUTH
 becker.robots.Wall 1 0 Direction.WEST
becker.robots.Wall 2 0 Direction.WEST
becker.robots.Wall 3 0 Direction.WEST
becker.robots.Wall 4 0 Direction.WEST
becker.robots.Wall 5 0 Direction.WEST
becker.robots.Wall 6 0 Direction.WEST
becker.robots.Wall 7 0 Direction.WEST
becker.robots.Wall 8 0 Direction.WEST
becker.robots.Wall 9 0 Direction.WEST
becker.robots.Wall 10 0 Direction.WEST
becker.robots.Wall 11 0 Direction.WEST
becker.robots.Wall 12 0 Direction.WEST
becker.robots.Wall 13 0 Direction.WEST
becker.robots.Wall 14 0 Direction.WEST
becker.robots.Wall 15 0 Direction.WEST
becker.robots.Wall 16 0 Direction.WEST
becker.robots.Wall 17 0 Direction.WEST
becker.robots.Wall 18 0 Direction.WEST
becker.robots.Wall 19 0 Direction.WEST
becker.robots.Wall 20 0 Direction.WEST
becker.robots.Wall 21 0 Direction.WEST
becker.robots.Wall 22 0 Direction.WEST
becker.robots.Wall 23 0 Direction.WEST
becker.robots.Wall 24 0 Direction.WEST
becker.robots.Wall 25 0 Direction.WEST
becker.robots.Wall 26 0 Direction.WEST
becker.robots.Wall 27 0 Direction.WEST
becker.robots.Wall 28 0 Direction.WEST
becker.robots.Wall 29 0 Direction.WEST
becker.robots.Wall 30 0 Direction.WEST
becker.robots.Wall 1 30 Direction.EAST
becker.robots.Wall 2 30 Direction.EAST
becker.robots.Wall 3 30 Direction.EAST
becker.robots.Wall 4 30 Direction.EAST
becker.robots.Wall 5 30 Direction.EAST
becker.robots.Wall 6 30 Direction.EAST
becker.robots.Wall 7 30 Direction.EAST
becker.robots.Wall 8 30 Direction.EAST
becker.robots.Wall 9 30 Direction.EAST
becker.robots.Wall 10 30 Direction.EAST
becker.robots.Wall 11 30 Direction.EAST
becker.robots.Wall 12 30 Direction.EAST
becker.robots.Wall 13 30 Direction.EAST
becker.robots.Wall 14 30 Direction.EAST
becker.robots.Wall 15 30 Direction.EAST
becker.robots.Wall 16 30 Direction.EAST
becker.robots.Wall 17 30 Direction.EAST
becker.robots.Wall 18 30 Direction.EAST
becker.robots.Wall 19 30 Direction.EAST
becker.robots.Wall 20 30 Direction.EAST
becker.robots.Wall 21 30 Direction.EAST
becker.robots.Wall 22 30 Direction.EAST
becker.robots.Wall 23 30 Direction.EAST
becker.robots.Wall 24 30 Direction.EAST
becker.robots.Wall 25 30 Direction.EAST
becker.robots.Wall 26 30 Direction.EAST
becker.robots.Wall 27 30 Direction.EAST
becker.robots.Wall 28 30 Direction.EAST
becker.robots.Wall 29 30 Direction.EAST
becker.robots.Wall 30 30 Direction.EAST
becker.robots.Wall 1 10 Direction.EAST
becker.robots.Wall 2 10 Direction.EAST
becker.robots.Wall 3 10 Direction.EAST
becker.robots.Wall 4 10 Direction.EAST
becker.robots.Wall 5 10 Direction.EAST
becker.robots.Wall 6  10 Direction.EAST
becker.robots.Wall 7 10 Direction.EAST
becker.robots.Wall 8 10 Direction.EAST
becker.robots.Wall 9 10 Direction.EAST
becker.robots.Wall 10 10 Direction.EAST
becker.robots.Wall 11 10 Direction.EAST
becker.robots.Wall 12 10 Direction.EAST
becker.robots.Wall 13 10 Direction.EAST
becker.robots.Wall 14 10 Direction.EAST
becker.robots.Wall 15 10 Direction.EAST
becker.robots.Wall 16 10 Direction.EAST
becker.robots.Wall 17 10 Direction.EAST
becker.robots.Wall 18 10 Direction.EAST
becker.robots.Wall 19 10 Direction.EAST
becker.robots.Wall 1 20 Direction.EAST
becker.robots.Wall 2 20 Direction.EAST
becker.robots.Wall 3 20 Direction.EAST
becker.robots.Wall 4 20 Direction.EAST
becker.robots.Wall 5 20 Direction.EAST
becker.robots.Wall 6 20 Direction.EAST
becker.robots.Wall 7 20 Direction.EAST
becker.robots.Wall 8 20 Direction.EAST
becker.robots.Wall 9 20 Direction.EAST
becker.robots.Wall 10 20 Direction.EAST
becker.robots.Wall 11 20 Direction.EAST
becker.robots.Wall 12 20 Direction.EAST
becker.robots.Wall 13 20 Direction.EAST
becker.robots.Wall 14 20 Direction.EAST
becker.robots.Wall 15 20 Direction.EAST
becker.robots.Wall 16 20 Direction.EAST
becker.robots.Wall 17 20 Direction.EAST
becker.robots.Wall 18 20 Direction.EAST
becker.robots.Wall 19 20 Direction.EAST
becker.robots.Wall 20 0 Direction.NORTH
  becker.robots.Wall 20 1 Direction.NORTH
